projectid;CURRENT.DATE;simulationid;Evaporation;Transpiration;CropAvailWater;EvapoTranspiration;WaterStress;MobileWater_1;MobileWater_2;MobileWater_3;MobileWater_4;MobileWater_5;MobileWater_6;MobileWater_7;MobileWater_8;MobileWater_9;MobileWater_10;MobileWater_11;MobileWater_12;MobileWater_13;MobileWater_14;MobileWater_15;MobileWater_16;MobileWater_17;MobileWater_18;MobileWater_19;MobileWater_20;MobileWater_21;MobileWater_22;MobileWater_23;MobileWater_24;MobileWater_25;MobileWater_26;MobileWater_27;MobileWater_28;MobileWater_29;MobileWater_30;MobileWater_31;MobileWater_32;MobileWater_33;MobileWater_34;MobileWater_35;MobileWater_36;MobileWater_37;MobileWater_38;MobileWater_39;MobileWater_40;RetainedWater_1;RetainedWater_2;RetainedWater_3;RetainedWater_4;RetainedWater_5;RetainedWater_6;RetainedWater_7;RetainedWater_8;RetainedWater_9;RetainedWater_10;RetainedWater_11;RetainedWater_12;RetainedWater_13;RetainedWater_14;RetainedWater_15;RetainedWater_16;RetainedWater_17;RetainedWater_18;RetainedWater_19;RetainedWater_20;RetainedWater_21;RetainedWater_22;RetainedWater_23;RetainedWater_24;RetainedWater_25;RetainedWater_26;RetainedWater_27;RetainedWater_28;RetainedWater_29;RetainedWater_30;RetainedWater_31;RetainedWater_32;RetainedWater_33;RetainedWater_34;RetainedWater_35;RetainedWater_36;RetainedWater_37;RetainedWater_38;RetainedWater_39;RetainedWater_40
testproject;28.07.1991;testproject_00__TESTSIMULATION;2.025;0;0;2.025;0;0;0.001966389;0.797675236;0.849612083;0.697842734;0.482052863;0.331153905;0.232698634;0.193889511;0.2134663;0.278398705;0.367133074;0.455470485;0.523053008;0.557774799;0.556784727;0.524649361;0.470192841;0.403419074;0.333333894;0.266889495;0.208867691;0.162333006;0.129270325;0.111107553;0.108957011;0.123549193;0.154946481;0.202189363;0.263034999;0.33390569;0.410093698;0.486194259;0.556681724;0.616516241;0.661671617;0.689502096;0.698905818;0.690284303;0.665331428;4.09668477;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;29.07.1991;testproject_00__TESTSIMULATION;3.073339286;0;0;3.073339286;0;0;0;0;0.354419135;0.62169422;0.654323675;0.557518013;0.434159749;0.32659149;0.257949613;0.237858914;0.26358466;0.322366384;0.395625828;0.464261415;0.513306516;0.534525832;0.526617871;0.493656046;0.442777378;0.381997329;0.318664626;0.258694501;0.206451582;0.165023283;0.136609998;0.122821789;0.12477354;0.142976478;0.177105525;0.225762033;0.286346853;0.355118975;0.427457872;0.49829212;0.562617552;0.61601246;0.655064705;0.677650213;0.683035467;3.18544087;4.637944853;5.167094733;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;30.07.1991;testproject_00__TESTSIMULATION;0.914759362;0;0;0.914759362;0;0;0;0;0;0.175155356;0.415524123;0.53753152;0.542363959;0.480352567;0.39625573;0.322661024;0.279433256;0.274054251;0.303081924;0.355099538;0.414861877;0.467606308;0.502343675;0.513439541;0.500509274;0.467161027;0.41928345;0.363460061;0.305845996;0.251592514;0.204723004;0.168274265;0.144509303;0.135058174;0.140921736;0.162351051;0.198671057;0.248139456;0.307920648;0.374219403;0.442573851;0.50826654;0.56678576;0.614261482;0.647809829;2.674173869;4.501842786;5.057535776;5.309681648;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;31.07.1991;testproject_00__TESTSIMULATION;0.667447635;0;0;0.667447635;0;0;0;0;0;0;0.091474692;0.269894322;0.411398547;0.477313388;0.474792895;0.42991163;0.37145414;0.322877819;0.298698063;0.303600895;0.333625945;0.378912074;0.427213438;0.467211612;0.490834764;0.49424647;0.477632734;0.444208191;0.39893472;0.347350466;0.294734066;0.245655821;0.203842256;0.172219899;0.153003172;0.147731884;0.157222947;0.181456625;0.219454171;0.269214009;0.327759564;0.391321699;0.455643701;0.516367068;0.569439053;2.365401048;4.381821576;4.962794308;5.239663654;5.360235235;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;01.08.1991;testproject_00__TESTSIMULATION;0.5;0;0;0.5;0;0;0;0;0;0;0;0.050027281;0.173729438;0.302212367;0.394155463;0.434294493;0.429087248;0.396406761;0.356597039;0.326445892;0.315953752;0.327496029;0.356904556;0.395816639;0.434480161;0.464236914;0.479161244;0.476687549;0.457372212;0.424113316;0.381182;0.333342922;0.285216516;0.240913912;0.203888719;0.176910242;0.162066157;0.160735156;0.173513804;0.200120489;0.239321865;0.288929763;0.34590163;0.406552386;0.466858693;2.346376662;4.30725405;4.889946411;5.18376769;5.322890341;5.378098075;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;02.08.1991;testproject_00__TESTSIMULATION;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0.028477417;0.111838206;0.216615044;0.311910802;0.375929375;0.402212675;0.397177326;0.374366231;0.348683828;0.332077767;0.331142839;0.346613363;0.374378265;0.4074196;0.437994907;0.459483549;0.467549882;0.460543661;0.439271164;0.406382399;0.365630353;0.321197958;0.277197574;0.237361501;0.204882386;0.182337316;0.171635114;0.173951761;0.189650412;0.218208319;0.258185671;0.307269087;0.362408134;2.825520712;4.298257816;4.841894826;5.139106836;5.290211275;5.35622892;5.387472531;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;03.08.1991;testproject_00__TESTSIMULATION;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0.016769951;0.072317875;0.152975416;0.239664371;0.312533783;0.359368969;0.378079702;0.374846662;0.360281067;0.345427688;0.3387017;0.344243578;0.361716358;0.387239326;0.414960438;0.438738388;0.453514112;0.456141;0.445639898;0.422992109;0.390655567;0.351990303;0.310732317;0.270588683;0.234965623;0.206800652;0.188454577;0.181625531;0.187266489;0.205509817;0.235618811;0.275992158;3.428890264;4.332640209;4.814085341;5.10447578;5.261755128;5.33592364;5.374339825;5.392613431;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;04.08.1991;testproject_00__TESTSIMULATION;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.010155851;0.047063926;0.107084357;0.180360644;0.252103022;0.309356518;0.345275683;0.360072512;0.35943951;0.351747058;0.345175356;0.345559817;0.355318151;0.373462824;0.396437969;0.419384476;0.437433879;0.446730063;0.445025337;0.431841065;0.408285415;0.376667582;0.340044386;0.301798989;0.265303224;0.23367207;0.209591434;0.195191383;0.19194298;0.200571019;0.220989777;3.086659387;4.307152349;4.785274077;5.074444347;5.236451382;5.316905001;5.361399962;5.384527446;5.395525985;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;05.08.1991;testproject_00__TESTSIMULATION;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.006294079;0.03084729;0.074586387;0.133722441;0.198740912;0.258612121;0.304850951;0.333810935;0.346881412;0.349107322;0.347062272;0.346761403;0.35216093;0.364493182;0.382411521;0.402724792;0.421411872;0.434618686;0.439422964;0.434264684;0.419044677;0.394965542;0.364219665;0.329624022;0.294274045;0.261253976;0.233411139;0.213183347;0.202463556;0.202490912;3.30749675;4.306600035;4.762424616;5.048510727;5.213733542;5.299175489;5.348721557;5.376201397;5.390462711;5.397233157;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;06.08.1991;testproject_00__TESTSIMULATION;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.003976125;0.020363308;0.051819113;0.098080232;0.153924408;0.21119853;0.261814624;0.300266391;0.324850628;0.337483158;0.342497155;0.345005863;0.349378887;0.358209809;0.371931371;0.389032271;0.406691902;0.421593678;0.430696139;0.431808625;0.423903595;0.407173824;0.382893108;0.353159339;0.320593556;0.288048135;0.258352322;0.234102621;0.217493479;2.969017615;4.266086044;4.735908933;5.024196586;5.192786718;5.282494128;5.336396788;5.36772866;5.38505691;5.394016348;5.398260213;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
